date,game_id,level,player_id,player_name,team,position,at_bats,runs,hits,doubles,triples,home_runs,rbi,walks,strikeouts_batting,stolen_bases,caught_stealing,left_on_base,ground_into_double_play,innings_pitched,hits_allowed,runs_allowed,earned_runs,walks_allowed,strikeouts_pitching,home_runs_allowed,inherited_runners,inherited_runners_scored,strike_percentage
6-Apr,749917,AA,694335,Matt Svanson,Springfield Cardinals,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0,0,0,0,2,0,0,0,83.33333333333334
6-Apr,749917,AA,672405,Leonardo Taveras,Springfield Cardinals,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,2,1,0,0,3,0,0,0,72.5
6-Apr,749917,AA,663494,Bryan Torres,Springfield Cardinals,CF,5,1,2,1,0,0,0,0,1,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
6-Apr,749917,AA,701675,Nathan Church,Springfield Cardinals,LF,4,1,1,0,0,0,2,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
6-Apr,749917,AA,694271,R.J. Yeager,Springfield Cardinals,1B,4,1,1,1,0,0,1,0,0,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
6-Apr,749917,AA,662914,Ryan Shreve,Springfield Cardinals,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,0,0,0,0,1,0,2,0,71.42857142857143
6-Apr,749917,AA,692405,Jeremy Rivas,Springfield Cardinals,SS,3,2,2,0,0,0,1,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
6-Apr,749917,AA,651016,Matt Lloyd,Springfield Cardinals,DH,4,0,1,0,0,0,1,0,1,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
6-Apr,749917,AA,702331,Noah Mendlinger,Springfield Cardinals,2B,4,0,0,0,0,0,0,0,0,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
6-Apr,749917,AA,689750,Jacob Buchberger,Springfield Cardinals,3B,4,0,0,0,0,0,0,1,3,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
6-Apr,749917,AA,700658,Chris Rotondo,Springfield Cardinals,RF,4,0,0,0,0,0,0,0,1,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
6-Apr,749917,AA,694358,Tekoah Roby,Springfield Cardinals,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.0,5,4,4,1,3,1,0,0,77.77777777777779
6-Apr,749917,AA,699625,Jimmy Crooks,Springfield Cardinals,C,4,1,2,0,0,0,0,0,1,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
6-Apr,749917,AA,702284,Cole Young,Arkansas Travelers,SS,4,1,2,0,0,0,2,0,0,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
6-Apr,749917,AA,688230,Peyton Alford,Arkansas Travelers,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,0,0,0,0,4,0,0,0,77.27272727272727
6-Apr,749917,AA,682988,Tyler Locklear,Arkansas Travelers,1B,4,0,1,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
6-Apr,749917,AA,642134,Robbie Tenerowicz,Arkansas Travelers,DH,4,0,0,0,0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
6-Apr,749917,AA,681168,Luis Curvelo,Arkansas Travelers,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,1,0,0,0,1,0,1,0,72
6-Apr,749917,AA,804577,Reid VanScoter,Arkansas Travelers,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1,6,3,3,1,3,0,0,0,66.66666666666666
6-Apr,749917,AA,663681,Jarod Bayless,Arkansas Travelers,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,2,3,2,1,1,0,0,0,53.84615384615385
6-Apr,749917,AA,695670,Harry Ford,Arkansas Travelers,C,4,0,0,0,0,0,0,0,0,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
6-Apr,749917,AA,702112,Hogan Windish,Arkansas Travelers,2B,3,1,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
6-Apr,749917,AA,680710,Grant Witherspoon,Arkansas Travelers,CF,4,1,1,0,0,0,0,0,1,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
6-Apr,749917,AA,668756,Ben Ramirez,Arkansas Travelers,3B,3,1,1,0,0,0,0,1,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
6-Apr,749917,AA,679754,Alberto Rodriguez,Arkansas Travelers,RF,4,0,0,0,0,0,0,0,2,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
6-Apr,749917,AA,689070,Spencer Packard,Arkansas Travelers,LF,4,1,2,0,0,1,3,0,1,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
9-Apr,751438,AAA,645444,Jose Herrera,Reno Aces,C,3,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
9-Apr,751438,AAA,694374,Tim Tawa,Reno Aces,RF,1,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
